Points,Grade
14,F
14,F
29,F
20,F
6,F
99,A
44,F
7,F
43,F
36,F
26,F
86,B
50,F
18,F
33,F
42,F
61,D
36,F
0,F
58,F
57,F
27,F
86,B
95,A
69,D
46,F
11,F
86,B
41,F
33,F
85,B
44,F
19,F
10,F
26,F
98,A
75,C
24,F
17,F
18,F
23,F
8,F
92,A
47,F
14,F
47,F
84,B
88,B
1,F
22,F
21,F
35,F
51,F
27,F
62,D
41,F
45,F
100,A
79,C
98,A
37,F
39,F
83,B
8,F
13,F
55,F
90,A
23,F
69,D
14,F
1,F
80,B
3,F
16,F
46,F
64,D
100,A
98,A
84,B
7,F
32,F
49,F
54,F
26,F
7,F
56,F
0,F
16,F
95,A
84,B
19,F
67,D
79,C
18,F
31,F
54,F
88,B
54,F
56,F
42,F
30,F
36,F
10,F
27,F
68,D
33,F
30,F
24,F
89,B
28,F
32,F
70,C
23,F
82,B
41,F
46,F
56,F
27,F
59,F
60,D
62,D
26,F
6,F
98,A
32,F
8,F
63,D
9,F
82,B
38,F
26,F
94,A
5,F
38,F
78,C
91,A
83,B
6,F
87,B
86,B
4,F
100,A
61,D
95,A
15,F
48,F
90,A
59,F
66,D
24,F
7,F
49,F
98,A
100,A
97,A
21,F
84,B
37,F
12,F
6,F
19,F
47,F
82,B
85,B
17,F
21,F
21,F
100,A
95,A
48,F
47,F
65,D
41,F
30,F
36,F
63,D
86,B
95,A
41,F
95,A
90,A
89,B
24,F
21,F
45,F
34,F
65,D
54,F
82,B
70,C
54,F
78,C
79,C
59,F
72,C
83,B
23,F
22,F
100,A
70,C
90,A
18,F
41,F
51,F
43,F
10,F
56,F
58,F
53,F
5,F
65,D
37,F
96,A
39,F
43,F
92,A
47,F
12,F
54,F
78,C
27,F
7,F
7,F
8,F
99,A
32,F
17,F
28,F
21,F
68,D
46,F
80,B
37,F
51,F
48,F
88,B
83,B
70,C
55,F
54,F
64,D
97,A
40,F
80,B
58,F
42,F
85,B
37,F
97,A
47,F
15,F
92,A
68,D
71,C
20,F
43,F
85,B
53,F
23,F
95,A
81,B
83,B
53,F
84,B
92,A
3,F
57,F
85,B
46,F
70,C
66,D
67,D
65,D
100,A
49,F
39,F
99,A
40,F
79,C
92,A
70,C
100,A
22,F
95,A
28,F
37,F
46,F
20,F
27,F
79,C
88,B
28,F
59,F
23,F
32,F
10,F
56,F
36,F
88,B
91,A
96,A
48,F
82,B
53,F
44,F
57,F
64,D
58,F
86,B
40,F
85,B
31,F
84,B
68,D
20,F
6,F
12,F
79,C
10,F
85,B
99,A
75,C
17,F
90,A
4,F
41,F
80,B
87,B
38,F
53,F
69,D
5,F
10,F
70,C
100,A
41,F
69,D
2,F
81,B
45,F
51,F
0,F
65,D
86,B
4,F
70,C
70,C
86,B
93,A
96,A
58,F
48,F
38,F
68,D
93,A
21,F
38,F
43,F
38,F
16,F
20,F
31,F
93,A
56,F
51,F
11,F
70,C
13,F
68,D
86,B
5,F
40,F
32,F
32,F
44,F
2,F
32,F
84,B
71,C
79,C
75,C
74,C
61,D
45,F
85,B
88,B
73,C
27,F
62,D
47,F
29,F
3,F
74,C
93,A
57,F
46,F
82,B
61,D
