Points,Grade
D,14
A,14
B,29
A,20
C,6
F,99
C,44
A,7
F,43
B,36
A,26
C,86
C,50
D,18
F,33
C,42
C,61
A,36
F,0
F,58
D,57
D,27
F,86
C,95
C,69
D,46
B,11
A,86
D,41
D,33
A,85
F,44
D,19
C,10
A,26
F,98
B,75
A,24
B,17
A,18
A,23
C,8
C,92
C,47
C,14
A,47
F,84
F,88
F,1
A,22
D,21
B,35
D,51
C,27
A,62
F,41
A,45
C,100
D,79
B,98
B,37
A,39
B,83
B,8
A,13
A,55
B,90
F,23
F,69
C,14
B,1
F,80
C,3
C,16
C,46
B,64
F,100
F,98
B,84
A,7
A,32
B,49
B,54
F,26
F,7
D,56
B,0
B,16
B,95
B,84
C,19
D,67
B,79
C,18
F,31
C,54
A,88
D,54
C,56
D,42
B,30
C,36
D,10
A,27
D,68
B,33
B,30
B,24
F,89
C,28
D,32
C,70
B,23
D,82
A,41
D,46
A,56
C,27
C,59
F,60
C,62
A,26
A,6
A,98
F,32
F,8
C,63
F,9
F,82
B,38
B,26
C,94
B,5
A,38
C,78
F,91
D,83
F,6
A,87
C,86
F,4
A,100
F,61
D,95
A,15
D,48
B,90
D,59
F,66
F,24
A,7
F,49
C,98
C,100
A,97
D,21
C,84
F,37
B,12
B,6
C,19
A,47
D,82
D,85
A,17
A,21
A,21
B,100
A,95
F,48
C,47
B,65
F,41
F,30
D,36
B,63
A,86
D,95
C,41
B,95
C,90
B,89
F,24
C,21
C,45
A,34
B,65
F,54
D,82
D,70
B,54
C,78
A,79
A,59
F,72
B,83
A,23
B,22
D,100
F,70
D,90
A,18
D,41
F,51
D,43
F,10
C,56
F,58
A,53
C,5
F,65
A,37
F,96
A,39
C,43
D,92
F,47
C,12
D,54
C,78
D,27
C,7
B,7
F,8
C,99
B,32
D,17
F,28
D,21
A,68
A,46
B,80
F,37
B,51
F,48
A,88
A,83
B,70
B,55
A,54
C,64
C,97
B,40
D,80
F,58
B,42
B,85
C,37
A,97
B,47
F,15
F,92
A,68
A,71
F,20
C,43
B,85
D,53
A,23
C,95
F,81
C,83
F,53
F,84
F,92
A,3
D,57
C,85
F,46
A,70
D,66
F,67
A,65
C,100
A,49
C,39
F,99
B,40
C,79
F,92
A,70
D,100
C,22
A,95
F,28
B,37
A,46
B,20
A,27
F,79
A,88
F,28
A,59
D,23
A,32
C,10
C,56
A,36
A,88
D,91
D,96
A,48
C,82
B,53
B,44
F,57
D,64
D,58
A,86
C,40
D,85
C,31
C,84
F,68
C,20
F,6
C,12
D,79
F,10
F,85
F,99
C,75
D,17
C,90
F,4
D,41
C,80
C,87
D,38
D,53
D,69
A,5
D,10
D,70
C,100
A,41
B,69
D,2
A,81
B,45
B,51
C,0
A,65
A,86
F,4
F,70
A,70
C,86
F,93
F,96
B,58
F,48
F,38
F,68
F,93
F,21
B,38
D,43
D,38
A,16
A,20
F,31
B,93
B,56
C,51
D,11
C,70
D,13
A,68
A,86
D,5
A,40
B,32
F,32
D,44
C,2
F,32
A,84
B,71
F,79
C,75
A,74
A,61
F,45
D,85
B,88
A,73
F,27
C,62
C,47
F,29
B,3
A,74
C,93
F,57
A,46
B,82
D,61
A,38
C,84
F,75
D,22
B,73
D,66
B,81
A,38
C,43
F,40
D,37
F,96
B,96
F,63
C,82
C,98
B,20
F,33
F,70
D,48
B,2
C,2
B,78
C,96
A,6
A,35
D,11
A,87
A,54
A,57
C,70
F,26
D,73
B,1
C,29
F,96
D,41
F,100
D,67
C,96
B,5
D,26
C,21
C,68
F,41
D,17
F,89
B,49
A,28
A,12
C,5
A,8
D,26
A,59
D,84
B,18
C,4
F,100
F,52
A,79
D,12
B,78
C,26
F,78
A,99
F,1
F,37
B,40
A,46
C,29
A,0
C,21
F,14
D,6
A,72
B,88
C,40
D,24
F,78
B,84
F,20
F,44
A,26
B,28
A,11
B,29
D,32
A,80
B,57
D,9
C,99
F,21
B,11
C,84
A,29
B,4
F,63
B,72
F,52
F,58
D,19
C,63
F,79
D,75
D,46
A,12
F,10
D,39
B,42
D,72
B,32
F,91
C,68
C,58
C,83
C,63
D,100
D,33
F,99
A,61
F,0
D,25
D,67
C,33
D,3
F,34
A,39
A,70
A,77
D,89
A,4
C,37
D,48
C,82
A,11
A,84
F,91
C,84
B,22
B,75
A,3
B,55
C,6
C,59
C,2
A,16
D,7
A,1
F,78
F,51
C,13
D,39
A,11
B,36
D,81
F,85
D,65
A,50
B,46
A,91
C,83
A,98
B,68
D,33
A,63
C,14
F,7
C,13
D,10
D,27
F,59
D,39
C,66
F,32
C,34
B,86
D,73
C,56
D,90
B,2
A,79
C,35
A,95
D,68
A,3
D,99
F,77
C,32
A,60
C,77
F,82
F,38
D,93
D,38
F,88
C,87
D,63
D,94
D,23
A,63
C,4
C,13
B,50
A,83
F,83
C,100
B,29
D,9
F,56
B,66
C,96
F,74
B,89
D,74
A,59
D,57
F,6
C,55
A,95
B,77
D,16
C,21
C,75
F,44
C,10
C,42
F,66
F,89
C,95
C,37
B,67
C,96
D,50
F,29
F,54
A,50
A,46
D,99
C,38
B,16
D,56
B,11
A,25
A,43
D,51
D,51
B,57
F,37
B,90
F,87
D,85
F,84
D,93
F,18
F,55
C,92
F,31
D,44
B,35
D,28
B,92
C,18
D,76
D,15
B,26
B,81
A,7
A,30
D,49
A,22
D,94
A,83
F,99
A,23
F,63
A,57
A,95
F,31
B,64
D,98
B,92
B,14
D,21
F,51
D,30
B,46
B,50
B,81
D,43
C,71
D,89
D,19
C,57
C,44
C,1
D,78
D,66
C,45
A,32
F,50
C,80
B,23
D,47
A,55
D,84
C,31
B,22
C,11
A,10
C,41
C,15
A,36
C,30
B,30
D,69
B,68
C,63
D,41
B,27
D,44
A,88
C,49
A,97
B,90
A,42
A,1
D,9
B,75
F,28
D,28
D,77
D,33
C,78
F,12
F,6
A,3
F,7
A,63
D,79
C,60
D,77
F,31
F,83
F,32
A,22
C,99
D,46
D,44
C,10
D,2
B,46
C,99
C,82
B,71
D,42
C,69
C,45
D,2
A,79
A,28
C,8
F,4
D,96
B,71
A,15
A,36
B,23
B,78
A,11
A,16
A,90
C,30
A,34
A,67
F,88
D,18
C,31
A,4
A,49
C,93
F,27
B,36
F,90
C,40
B,40
C,55
B,8
C,47
A,90
A,75
A,55
F,0
B,10
A,35
F,86
D,18
A,63
C,61
A,12
A,85
B,51
F,10
A,15
C,52
D,24
A,40
C,25
C,22
C,63
D,23
D,93
B,91
D,87
F,16
A,76
D,39
A,5
D,95
C,0
F,68
A,5
D,39
D,39
C,88
F,22
B,43
C,97
D,14
D,68
C,38
D,98
A,79
B,14
F,49
C,6
D,33
B,7
B,66
B,56
B,83
D,83
D,58
A,97
C,95
D,59
F,85
A,90
F,35
C,99
C,94
A,85
F,42
F,80
A,26
A,57
B,56
F,74
A,67
D,40
D,43
A,97
B,23
C,31
D,23
F,16
F,13
F,73
F,31
D,46
B,21
D,76
C,35
C,28
C,94
D,63
F,31
C,56
F,90
D,64
C,17
C,6
A,86
C,10
D,28
D,78
B,69
C,10
D,22
B,32
B,55
F,54
A,59
A,5
F,57
A,63
D,97
C,35
F,69
D,82
F,8
D,5
B,68
D,5
F,53
D,0
A,84
C,58
C,98
F,46
A,56
B,9
F,27
F,77
A,19
F,11
D,48
A,71
A,9
F,82
F,86
F,90
D,52
D,37
C,30
C,99
D,30
B,17
D,73
A,30
F,76
B,94
B,72
A,3
C,14
F,30
B,0
A,96
B,31
C,89
D,30
B,74
D,6
D,97
D,91
D,64
A,78
C,1
A,34
D,66
B,61
A,69
F,99
C,49
A,63
F,36
B,84
C,37
B,21
C,84
A,5
C,80
A,24
B,7
A,37
A,46
F,73
A,16
A,42
D,28
B,7
A,20
F,34
C,99
D,13
A,0
A,70
B,19
C,81
F,36
B,48
F,20
C,44
B,65
F,7
F,27
A,9
C,45
B,51
F,85
D,12
B,17
D,98
B,94
F,9
A,58
C,69
F,81
D,25
B,35
A,52
B,66
A,4
C,18
F,18
A,67
D,83
F,71
B,5
B,84
F,8
F,96
B,1
A,39
F,11
B,68
B,43
C,3
B,88
F,62
A,69
C,86
A,6
F,71
D,55
B,26
B,73
B,48
F,78
D,12
B,23
F,58
B,93
F,70
A,89
D,71
D,33
B,99
D,34
B,26
A,32
C,68
D,60
D,72
D,62
C,69
D,0
C,7
C,50
F,1
B,72
C,56
F,12
C,45
F,45
D,15
F,34
B,78
F,37
F,85
F,5
C,66
B,98
C,93
C,74
C,83
F,50
C,12
C,82
D,82
A,73
D,94
B,1
A,11
D,8
C,64
D,74
D,73
F,81
A,99
F,40
D,43
D,69
F,100
A,16
B,11
A,54
A,95
C,4
A,46
D,61
B,13
D,96
F,40
C,79
B,87
C,23
B,73
D,58
B,78
A,85
F,92
